 0.0646334  0.0846963  0.0600203  0.0787683  0.0353079  1.042
 0.0600203  0.0787683  0.0711379  0.0846774  0.0718475  1.042
 0.0711379  0.0846774  0.0822555  0.0905865  0.0718475  0.7
 0.0822555  0.0905865  0.0585924  0.113724  0.0656891  0.7
 0.0585924  0.113724  0.0406597  0.0406597  0.0312023  1.042
 0.0406597  0.0406597  0.033903  0.033903  0.0164223  1.042
 0.041393  0.0405718  0.0551906  0.0486862  0.139062  1.042
 0.0646398  0.0846908  0.0654023  0.105926  0.0544169  1.042
 0.0654023  0.105926  0.0500197  0.10003  0.0748959  1.042
 0.0500148  0.0500148  0.0344282  0.0329589  0.187566  1.042
 0.0500148  0.0500148  0.0344282  0.0329589  0.187566  1.042
 0.0344282  0.0329589  0.0203588  0.0203588  0.180938  1.042
 0.0344282  0.0329589  0.0203588  0.0203588  0.180938  1.042
 0.0378481  0.0203588  0.0106976  0.0282405  0.137193  1.042
 0.0378481  0.0203588  0.0106976  0.0282405  0.137193  1.042
 0.0260342  0.0260342  0.0233552  0.0233552  0.186628  1.042
 0.0260342  0.0260342  0.0233552  0.0233552  0.186628  1.042
 0.0233552  0.0233552  0.0119648  0.0180051  0.15132  1.042
 0.0233552  0.0233552  0.0119648  0.0180051  0.15132  1.042
 0.0119648  0.0294135  0.00410557  0.0150147  0.107331  1.042
 0.0119648  0.0294135  0.00410557  0.0150147  0.107331  1.042
-0.00779373233
0.0131378299
0.00599197012
0.0500147909
0.068856305
0.0374193548
0.0140119644
1.705
64.9
